Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Augment),Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Implement setSN radian weco function in GRPC application,CTET-4565,81296,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:44 PM,16/Aug/24 12:09 PM,21/Aug/24 9:16 AM,16/Aug/24 12:09 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4cca61eb,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lz:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_2_*:*_159886936_*|*_10001_*:*_2_*:*_7396,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 12:09 PM
Implement shutdown radian weco function in GRPC application,CTET-4564,81295,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:43 PM,16/Aug/24 11:47 AM,21/Aug/24 9:16 AM,16/Aug/24 11:47 AM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e64523c,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076m0:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_93642826_*|*_10000_*:*_1_*:*_64962025_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 11:47 AM
Implement init function in GRPC library,CTET-4563,81294,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 3:43 PM,16/Aug/24 11:47 AM,21/Aug/24 9:16 AM,16/Aug/24 11:47 AM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1845a4bb,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lz:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_93645347_*|*_10000_*:*_1_*:*_64985628_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,16/Aug/24 11:47 AM
DLG LFP Module Test Strategy,CTET-4562,81293,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 3:16 PM,20/Aug/24 9:25 AM,20/Aug/24 9:25 AM,19/Aug/24 5:06 PM,,0,,,"Goal is to evaluate 3 different testing strategies for current design of DLG LFP module, then give feedback to the design team.

# Contact Pulse Test
# Thermographic Pulse Test
# Optical (laser profiler) Test",,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,20/Aug/24 9:25 AM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;08192024 DLG LFP Module Pulse Test Feasibility (41115842-c49c-4d34-8994-4b762c014956).pptx;https://neurio.atlassian.net/rest/api/3/attachment/content/51586,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33db8de1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077qx:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_366054547_*|*_10000_*:*_1_*:*_72521876_*|*_10001_*:*_1_*:*_0,"15/Aug/24 11:38 AM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;Procedure for evaluating contact pulse for this

# Model the battery module in LTSpice
# Define safe pulse current using battery capacity and SOC degradation of less than 1% during pulse
# Simulate voltages at the BMB welds and at different sense locations on the CC at fully welded module, then redo with randomly removed cells from (TBD actual locations)
## Goal is to see if we can back calculate sense location voltages from the BMB weld locations using some sort of baseline if possible","19/Aug/24 5:06 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;*Prelim results* in this attached ppt [^08192024 DLG LFP Module Pulse Test Feasibility (41115842-c49c-4d34-8994-4b762c014956).pptx] 

*Prelim suggestion* is that we use BMB based pulse test in conjunction with IR cameras to detect heat imbalance when missing cells are there (crude thermographic pulse)",,,,Done,19/Aug/24 5:06 PM
Rackmount HV Tray Layout,CTET-4561,81292,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:09 PM,20/Aug/24 5:34 PM,21/Aug/24 9:16 AM,20/Aug/24 5:34 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6935aba2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q8:z,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_4548953_*|*_10000_*:*_1_*:*_522562405_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,20/Aug/24 5:34 PM
Rackmount LV Tray Layout,CTET-4560,81291,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:09 PM,20/Aug/24 5:34 PM,21/Aug/24 9:16 AM,20/Aug/24 5:34 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ce0ba43,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q8:y,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_4547227_*|*_10000_*:*_1_*:*_522565615_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,20/Aug/24 5:34 PM
Resistor Panel Layout,CTET-4559,81290,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:09 PM,20/Aug/24 5:34 PM,21/Aug/24 9:16 AM,20/Aug/24 5:34 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bfece15,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q8:x,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_4542698_*|*_10000_*:*_1_*:*_522572626_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,20/Aug/24 5:34 PM
Import Base CAD for shelf,CTET-4558,81289,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:09 PM,19/Aug/24 4:53 PM,21/Aug/24 9:16 AM,19/Aug/24 4:53 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@674ed60c,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q8:v,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_285820364_*|*_10000_*:*_1_*:*_152449838_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,19/Aug/24 4:53 PM
Implement Redlines,CTET-4557,81288,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:09 PM,19/Aug/24 10:41 PM,21/Aug/24 9:16 AM,19/Aug/24 10:41 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f7b11da,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q3:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,10547_*:*_1_*:*_62157758_*|*_3_*:*_1_*:*_20913853_*|*_10000_*:*_2_*:*_376097430_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,19/Aug/24 10:41 PM
Receive Redlines from Scott,CTET-4556,81287,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:08 PM,19/Aug/24 4:53 PM,21/Aug/24 9:16 AM,19/Aug/24 4:53 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1232a6bd,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q6:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,10547_*:*_1_*:*_62158122_*|*_10000_*:*_2_*:*_376112207_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,19/Aug/24 4:53 PM
Create Voltron Sharpoint to work with techs,CTET-4555,81286,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:08 PM,19/Aug/24 4:53 PM,21/Aug/24 9:16 AM,19/Aug/24 4:53 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@af84e0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q6:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_438275669_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,19/Aug/24 4:53 PM
Publish Prints and BOM,CTET-4554,81285,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:08 PM,19/Aug/24 4:53 PM,21/Aug/24 9:16 AM,19/Aug/24 4:53 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@beb7fec,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q7:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_285821762_*|*_10000_*:*_1_*:*_152488079_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,19/Aug/24 4:53 PM
Update Verivolt Names though prints,CTET-4553,81284,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,14/Aug/24 3:07 PM,15/Aug/24 2:26 PM,21/Aug/24 9:16 AM,15/Aug/24 2:26 PM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4cfe8e79,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077q5:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_17590895_*|*_10000_*:*_1_*:*_66307172_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,15/Aug/24 2:26 PM
Benchtop setup Microinverter build using burnin cart or OTS parts,CTET-4552,81279,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:48 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ca1c4a3,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077vf:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,21/Aug/24 9:05 AM
Backlog Voltron Build into Jira,CTET-4551,81278,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:47 PM,19/Aug/24 8:04 AM,21/Aug/24 9:16 AM,19/Aug/24 8:04 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6729fa4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077ph:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_407787180_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,19/Aug/24 8:04 AM
Audit Voltron Schematics for initial redlines to be entered.,CTET-4550,81277,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:47 PM,16/Aug/24 2:38 PM,21/Aug/24 9:16 AM,16/Aug/24 2:38 PM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60c4e2da,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077pl:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_15292440_*|*_10000_*:*_1_*:*_156987960_*|*_10001_*:*_1_*:*_0,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,16/Aug/24 2:38 PM
Update Flash Station to accomodate Penguin Secure Boot,CTET-4549,81276,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:46 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48d87ed3,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077pd:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,To Do,14/Aug/24 2:46 PM
Read thru test procedures for Manta,CTET-4548,81275,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:45 PM,15/Aug/24 8:52 AM,21/Aug/24 9:16 AM,15/Aug/24 8:52 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24e9e473,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077p5:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_65192544_*|*_10001_*:*_1_*:*_0,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,15/Aug/24 8:52 AM
