Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
Backlog Voltron 2,CTET-4765,81666,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,22/Aug/24 3:21 PM,26/Aug/24 11:20 AM,28/Aug/24 2:50 PM,26/Aug/24 11:20 AM,,0,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f67880a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i079hp:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_331121386_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,26/Aug/24 11:20 AM
"Create SW drawing of machine shop in facility with all tools, tables, chests etc",CTET-4764,81664,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,22/Aug/24 3:01 PM,27/Aug/24 1:37 PM,28/Aug/24 2:50 PM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ec6c33d,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4763,Build a capable machine shop in Reno,,,,,,,,,,,,,,,,,,,,,,,2|i07app:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,81663,Build a capable machine shop in Reno,To Do,22/Aug/24 3:01 PM
Backlog Voltron 2 order and build,CTET-4762,81661,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,22/Aug/24 2:31 PM,27/Aug/24 10:12 AM,28/Aug/24 2:50 PM,27/Aug/24 10:12 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@522f81a8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i079gv:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_416477207_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,27/Aug/24 10:12 AM
Work with Wesley on Safety improvements for WK,CTET-4759,81649,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,22/Aug/24 11:15 AM,28/Aug/24 12:35 PM,28/Aug/24 2:50 PM,28/Aug/24 12:35 PM,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a65dd15,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0792f:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_523186389_*|*_10001_*:*_1_*:*_0,,,,Done,28/Aug/24 12:35 PM
Script to parse LTSpice data,CTET-4758,81647,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,22/Aug/24 10:45 AM,27/Aug/24 5:05 PM,27/Aug/24 5:03 PM,27/Aug/24 5:05 PM,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,27/Aug/24 5:05 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;LTSpice Parsing Script.jsl;https://neurio.atlassian.net/rest/api/3/attachment/content/51668,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33b2cbe4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079bl:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_454806293_*|*_10001_*:*_1_*:*_0,"27/Aug/24 5:05 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;Done in jsl, script attached below:

[^LTSpice Parsing Script.jsl]

",,,Done,27/Aug/24 5:05 PM
30x simulation runs with variations and fault injections,CTET-4757,81646,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,22/Aug/24 10:44 AM,28/Aug/24 2:46 PM,22/Aug/24 10:44 AM,,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63e978c1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079bd:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,To Do,22/Aug/24 10:44 AM
"Upcoming projects, priorities, and resource analysis",CTET-4756,81645,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,22/Aug/24 10:42 AM,28/Aug/24 2:46 PM,28/Aug/24 2:46 PM,28/Aug/24 2:46 PM,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@710720ed,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079b5:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_533001476_*|*_10001_*:*_1_*:*_0,,,,Done,28/Aug/24 2:46 PM
Offline pulse test algorithm JSL,CTET-4755,81644,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,22/Aug/24 10:42 AM,23/Aug/24 1:44 PM,23/Aug/24 1:43 PM,23/Aug/24 1:44 PM,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,23/Aug/24 1:44 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;Pulse Algo JSL.jsl;https://neurio.atlassian.net/rest/api/3/attachment/content/51625,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f62dcf2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079ax:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_97343799_*|*_10001_*:*_1_*:*_0,"23/Aug/24 1:41 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;First draft also in JSL attached. Tested and works!

[^Pulse Algo JSL.jsl]



{code:json}// Define p count herep=14;// select current table - this should be opened seperately from data we query or manually grabdt1 = currentdatatable();// calculate flattened impedancedt1 << New Column( ""Zflat"", Numeric, Continuous, Format( ""Best"", 15 ), Formula(:Zraw - :Baseline));// find reference brick lower window (which is 2nd min impedance per sense location)dt2 = dt1 << sort( by( SN, Sense Loc, Zflat ), order( ascending ));dt2 << New Column(""temp1"", Character, Nominal, Formula(If( :Sense Loc == Lag( :Sense Loc, 2 ),""yes"", ""no"")));dt2 << New Column(""temp2"", Character, Nominal, Formula(If( :temp1 == Lag( :temp1, 1 ), ""yes"", ""no"")));dt2 << New Column(""filter"", Character, Nominal, Formula(If( :temp1 == ""no"" & :temp2 == ""yes"", ""select"", ""delete"")));:temp1 << Delete Formula;:temp2 << Delete Formula;:filter << Delete Formula;:Zflat << Delete Formula;dt2 << Select Where(:filter == ""delete"");dt2 << Delete Rows; dt2 << Delete Columns(""Voc"", ""Baseline"", ""Zraw"", ""temp1"", ""temp2"", ""filter"", ""Brick"");:Zflat << Set Name( ""lower_window"" );dt2 << New Column(""upper_window"", Numeric, Continuous, Format(""Best"", 15), Formula(:lower_window + :lower_window*0.05));// Join two tables in prep of finding median brickdt1 << Join(	With( dt2 ),	Merge Same Name Columns,	By Matching Columns( :SN = :SN, :Sense Loc = :Sense Loc ),	Drop multiples( 0, 0 ),	Include Nonmatches( 0, 0 ),	Preserve main table order( 1 ),	Output Table( ""Join of dt1 and dt2"" ));dt3 = data table(""Join of dt1 and dt2"");// Close dt2 table as it is not needed beyond thisdt2 << Close Window;// Find median brick and median impedance per sense locationdt3 << New Column(""filter"", Character, Nominal, Formula(If( :Zflat < :lower_window | :Zflat > :upper_window, ""delete"", ""select"")));dt3 << Select Where(:filter == ""delete"");dt3 << Delete Rows;dt3 << Summary(	Group( :SN, :Sense Loc ),	Median( :Zflat ),	Freq( ""None"" ),	Weight( ""None"" ),	output table name( ""Summary of Join of dt1 and dt2 grouped by SN, Sense Loc"" ));dt4 = data table(""Summary of Join of dt1 and dt2 grouped by SN, Sense Loc"");dt4 << Delete Columns( ""N Rows"" );dt1 << Join(	With( dt4 ),	Merge Same Name Columns,	By Matching Columns( :SN = :SN, :Sense Loc = :Sense Loc ),	Drop multiples( 0, 0 ),	Include Nonmatches( 0, 0 ),	Preserve main table order( 1 ),	Output Table( ""Join of dt1 and dt4"" ));dt5 = data table(""Join of dt1 and dt4"");// Close no longer needed tabledt3 <<  Close Window;// Calculate impedance deviation and ratiodt5 << New Column(""Deviation"", Numeric, Continuous, Format(""Best"", 15), Formula(:Zflat - Name(""Median(Zflat)"")));dt5 << New Column(""Ratio"", Numeric, Continuous, Format(""Best"", 15), Formula(:Deviation / Name(""Median(Zflat)"")));//Calculate Missing Cell Countdt5 << New Column(""n_Connected"", Numeric, Continuous, Format(""Best"", 15), Formula(p*(1-:Ratio)));dt5 << New Column(""n_Missing"", Numeric, Continuous, Format(""Best"", 15), Formula(p - :n_Connected));{code}",,,Done,23/Aug/24 1:44 PM
Introduce variations in DLG LFP battery model,CTET-4754,81643,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,22/Aug/24 10:41 AM,27/Aug/24 5:03 PM,27/Aug/24 5:01 PM,27/Aug/24 5:03 PM,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,27/Aug/24 5:03 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;08192024 DLG LFP Module Pulse Test Feasibility.pptx;https://neurio.atlassian.net/rest/api/3/attachment/content/51667,27/Aug/24 5:03 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;DLG LFP battery module circuit model_rev2.asc;https://neurio.atlassian.net/rest/api/3/attachment/content/51666,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9be0fb,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079ap:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_454918070_*|*_10001_*:*_1_*:*_0,"27/Aug/24 5:03 PM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;* Corrected resistance of cell to 2.9mOhm
* Introduced 1% Voc variation and 15% R variations into the LTSpice model
** latest model here: [^DLG LFP battery module circuit model_rev2.asc] 
* Ran sim again, results added to the ppt
** [^08192024 DLG LFP Module Pulse Test Feasibility.pptx]  ",,,Done,27/Aug/24 5:03 PM
automate current reading test,CTET-4753,81642,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,22/Aug/24 10:08 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64414db9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07993:i,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,To Do,22/Aug/24 10:08 AM
automate rs485 communication test,CTET-4751,81640,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,22/Aug/24 10:07 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d7bf0e9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07994:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,To Do,22/Aug/24 10:07 AM
automate power supply operation and regulation,CTET-4750,81639,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,22/Aug/24 10:07 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66df32d4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07993:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,To Do,22/Aug/24 10:07 AM
automate thermistor test,CTET-4749,81638,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,22/Aug/24 10:06 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73d088f4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07990:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,To Do,22/Aug/24 10:06 AM
automate toggle switch test,CTET-4748,81637,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,22/Aug/24 10:06 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36b7bf47,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i0798z:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,To Do,22/Aug/24 10:06 AM
automate genealogy,CTET-4747,81636,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,22/Aug/24 10:06 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33443c84,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07991:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,To Do,22/Aug/24 10:06 AM
confrim travel plans with celestics,CTET-4746,81635,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,22/Aug/24 10:03 AM,27/Aug/24 1:53 PM,28/Aug/24 2:50 PM,27/Aug/24 1:53 PM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@296cc6ab,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i077lb:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_445807113_*|*_10001_*:*_1_*:*_0,,68003,Lab Buildout,Done,27/Aug/24 1:53 PM
Make my HR task for the year on work day.,CTET-4745,81634,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,22/Aug/24 9:36 AM,27/Aug/24 2:49 PM,28/Aug/24 2:50 PM,27/Aug/24 2:49 PM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54f315a2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i077le:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_450753168_*|*_10001_*:*_1_*:*_0,,68003,Lab Buildout,Done,27/Aug/24 2:49 PM
